"Chem_ID","Prediction"
Chem_0,0.712
Chem_1,0.4806066138076431
Chem_2,0.4767642242415535
Chem_3,0.4723687284453249
Chem_4,0.48070708887529673
Chem_5,0.4727504558776603
Chem_6,0.48505423865243996
Chem_7,0.4766460630627501
Chem_8,0.47654378617935034
Chem_9,0.48675015252579046
Chem_10,0.48126130732321765
Chem_11,0.48407170910851793
Chem_12,0.4951419719154616
Chem_13,0.4742870005929242
Chem_14,0.48069422182565846
Chem_15,0.48319566196973684
Chem_16,0.4762008377893556
Chem_17,0.47952973604764704
Chem_18,0.4813806436349979
Chem_19,0.4804119413554246
Chem_20,0.4749346199674885
Chem_21,0.4856822799048773
Chem_22,0.4738182277482572
Chem_23,0.4730446616126485
Chem_24,0.48204572831061365
Chem_25,0.49091019352737686
Chem_26,0.48729376087389564
Chem_27,0.48043978646980884
Chem_28,0.47340493425835345
Chem_29,0.4736998146246496
Chem_30,0.48721612229574524
Chem_31,0.4795722680525358
Chem_32,0.4871435903455704
Chem_33,0.4821799909611022
Chem_34,0.4835829797667531
Chem_35,0.4806901650947094
Chem_36,0.4807407585702763
Chem_37,0.4770705721122142
Chem_38,0.4728507134238247
Chem_39,0.4828279763181108
Chem_40,0.48351620653152333
Chem_41,0.4738550937019398
Chem_42,0.47080501616575465
Chem_43,0.4839907846793099
Chem_44,0.47977927309167645
Chem_45,0.483034065225629
Chem_46,0.4769587000554786
Chem_47,0.4740881137334455
Chem_48,0.4712178951105685
Chem_49,0.48082336017280075
Chem_50,0.477730254575227
Chem_51,0.4693663692815631
Chem_52,0.4826426950518921
Chem_53,0.48409398685364435
Chem_54,0.48483961475157605
Chem_55,0.4836769125247666
Chem_56,0.47613623929633847
Chem_57,0.4811064739007497
Chem_58,0.483068174043664
Chem_59,0.48458955134040554
Chem_60,0.4806254156811743
Chem_61,0.4715321123400815
Chem_62,0.48770948160500194
Chem_63,0.480033528447001
Chem_64,0.49165403648225764
Chem_65,0.4905785109034491
Chem_66,0.47648551800336164
Chem_67,0.4789947446618774
Chem_68,0.4872933136257363
Chem_69,0.48456854136580013
Chem_70,0.4741022495471249
Chem_71,0.46726218451045937
Chem_72,0.4778538780370074
Chem_73,0.48999919584648466
Chem_74,0.48322173332937507
Chem_75,0.4741809162103288
Chem_76,0.47716765943170675
Chem_77,0.4822922157709655
Chem_78,0.4752194916297048
Chem_79,0.4803156700608002
Chem_80,0.475237163591807
Chem_81,0.4782953535000452
Chem_82,0.4800472363191426
Chem_83,0.4775582794267253
Chem_84,0.48821038361464253
Chem_85,0.4781770240980213
Chem_86,0.47373452919648806
Chem_87,0.4876643146821862
Chem_88,0.4797688863255974
Chem_89,0.48405420609062766
Chem_90,0.48217341130627567
Chem_91,0.4743741145459059
Chem_92,0.47414694787125233
Chem_93,0.4757610485372161
Chem_94,0.4764656544339293
Chem_95,0.47600877451108414
Chem_96,0.4812785233474809
Chem_97,0.48203024250317705
Chem_98,0.47782878121570027
Chem_99,0.48345425864672126
Chem_100,0.47887595811369454
Chem_101,0.4865858911066994
Chem_102,0.48124331689850847
Chem_103,0.47996996613357473
Chem_104,0.4795901859656846
Chem_105,0.47176887351922714
Chem_106,0.47848497141007384
Chem_107,0.48249405149277713
Chem_108,0.4734915750843762
Chem_109,0.4873407524797468
Chem_110,0.49189761106804986
Chem_111,0.474386517139819
Chem_112,0.47360151880593987
Chem_113,0.4740802622913768
Chem_114,0.4795964320323169
Chem_115,0.47475276811139194
Chem_116,0.4722793633788054
Chem_117,0.4757111761076375
Chem_118,0.483740766256293
Chem_119,0.4794228634765889
Chem_120,0.4802501591270814
Chem_121,0.48634989429746045
Chem_122,0.4860421149986594
Chem_123,0.49184497303886077
Chem_124,0.47789524221559876
Chem_125,0.47854686485744724
Chem_126,0.47396745864815326
Chem_127,0.48063805546585153
Chem_128,0.4782672352451014
